"name","field_keywords","description"
"Taxes","taxes, income tax, property tax, sales tax, STAR, tax relief","Covers state and local tax policy in New York — including income tax, property tax relief, sales tax, and tax credit programs such as STAR."
"Affordability","affordability, cost of living, household expenses, financial relief","Covers the overall cost of living in New York — including housing, utility, and everyday expenses, and state efforts to reduce financial strain on working families."
"Consumer Protection","consumer protection, consumer rights, fraud prevention, product safety","Covers consumer rights and marketplace fairness in New York — including protection against fraud and deceptive practices, product safety, and oversight of consumer-facing industries."
"Campaign Finance","campaign finance, campaign contributions, public financing, political spending","Covers campaign finance regulation in New York — including contribution limits, public campaign financing, disclosure requirements, and oversight of political spending."
"Minority & Women-Owned Business","MWBE, minority-owned business, women-owned business, business certification","Covers programs supporting minority- and women-owned business enterprises in New York — including MWBE certification, state contracting goals, and access to capital and opportunity."
"Housing","housing, affordable housing, tenant rights, homeownership, housing supply","Covers housing policy in New York — including affordable housing development, tenant protections, homeownership assistance, and efforts to address the state's housing supply shortage."
"Infrastructure","infrastructure, construction, roads, bridges, water systems, broadband","Covers public infrastructure investment in New York — including roads, bridges, water systems, and broadband, along with construction funding and maintenance of aging systems."
"Local Government","local government, municipalities, counties, cities, state aid","Covers state-local government relations in New York — including municipal authority, county and city governance, unfunded mandates, and state aid to local governments."
"Community Development","community development, neighborhood revitalization, community reinvestment, community organizations","Covers investment in neighborhoods and communities across New York — including community reinvestment, neighborhood revitalization, and support for community-based organizations."
"Environment","environment, environmental protection, conservation, pollution, wildlife","Covers environmental protection and conservation policy in New York — including pollution control, land and wildlife conservation, and enforcement of state environmental regulations."
"Climate Change","climate change, CLCPA, emissions, clean energy transition, climate policy","Covers New York's climate policy and emissions reduction efforts — including implementation of the Climate Leadership and Community Protection Act (CLCPA) and the state's transition to clean energy."
"Renewable Energy","renewable energy, solar, wind power, clean energy, energy incentives","Covers the development and expansion of renewable energy in New York — including solar, wind, and other clean power sources, along with incentives for residential and commercial adoption."
"Energy","energy, power generation, energy affordability, data centers, energy policy","Covers energy policy in New York — including power generation, energy affordability, data center rate impacts, and the state's broader energy infrastructure and supply."
"Utilities","utilities, utility bills, ratepayers, Public Service Commission, rate cases, Con Edison, NYSEG","Covers regulation of utility companies and ratepayer issues in New York — including Public Service Commission oversight, utility billing practices, and rate case proceedings for gas and electric providers."
"Clean Water","clean water, drinking water, water infrastructure, water quality, contamination","Covers drinking water and waterway protection in New York — including water infrastructure funding, contamination prevention, and safeguarding water quality for communities statewide."
"Agriculture","agriculture, farming, farmland preservation, hunting, fishing, rural economy","Covers farming and agriculture policy in New York — including support for farmers, agricultural land preservation, hunting and fishing regulation, and rural economic development."
"State Parks & Recreation","state parks, recreation, tourism, outdoor recreation, park funding","Covers New York's state parks and outdoor recreation resources — including park funding and maintenance, tourism promotion, and public access to recreational lands and facilities."
"Transportation","transportation, highways, transit, DMV, roads, congestion","Covers transportation policy and infrastructure in New York — including highways, public transit, vehicle regulation, and state investment in roads and transit systems outside New York City."
"MTA","MTA, subway, LIRR, Metro-North, commuter rail, transit funding","Covers the Metropolitan Transportation Authority — including subway, bus, and commuter rail service, MTA funding and governance, and transit rider experience in the New York City region."
"Public Safety","public safety, homeland security, emergency preparedness, community safety","Covers general public safety policy in New York — including homeland security, emergency preparedness, and state efforts to keep communities and infrastructure secure."
"Criminal Justice Reform","criminal justice reform, bail reform, sentencing, incarceration, corrections","Covers reform of New York's criminal justice system — including bail reform, sentencing policy, correctional practices, and efforts to reduce incarceration while maintaining public safety."
"Crime","crime, crime victims, law enforcement, public safety, crime prevention","Covers crime and law enforcement in New York — including crime trends, victim services, and state response to criminal activity affecting communities."
"Gun Control","gun control, gun violence, gun safety, firearms, assault weapons","Covers firearm regulation in New York — including gun purchase requirements, assault weapons policy, and legislative efforts to reduce gun violence statewide."
"Domestic Violence","domestic violence, victim services, protective orders, shelters, survivors","Covers domestic violence prevention and victim services in New York — including protective orders, funding for shelters and support services, and legal protections for survivors."
"Drunk Driving","drunk driving, DWI, impaired driving, ignition interlock, road safety","Covers impaired driving policy in New York — including DWI enforcement, penalties, ignition interlock requirements, and prevention programs to reduce alcohol-related crashes."
"First Responders","first responders, firefighters, police, EMS, volunteer firefighters, law enforcement","Covers support for police, firefighters, and emergency medical personnel in New York — including funding, staffing, equipment, and protections for volunteer and career first responders."
"Civil Rights","civil rights, human rights, anti-discrimination, equal protection","Covers protection of civil and human rights in New York — including anti-discrimination law, equal protection, and safeguards against bias based on race, religion, and other protected classes."
"Voting Rights","voting rights, voter registration, early voting, ballot access, voter protection","Covers voting access and election integrity in New York — including voter registration, early voting, ballot access, and protections against voter suppression."
"Immigration","immigration, immigrant rights, driver's license access, undocumented residents","Covers immigration-related state policy in New York — including access to services for immigrant communities, driver's license eligibility, and state protections for undocumented residents."
"Women's Rights","women's rights, pay equity, sexual harassment, gender equality","Covers legal and workplace protections for women in New York — including pay equity, sexual harassment prevention, and policies advancing gender equality across state institutions."
"Disability Rights","disability rights, accessibility, ADA, accessible infrastructure","Covers rights and accessibility protections for New Yorkers with disabilities — including ADA compliance, accessible infrastructure, and equal access to employment, housing, and public services."
"Hate Crimes","hate crimes, bias crimes, antisemitism, hate crime prevention","Covers hate crime prevention and response in New York — including enforcement of bias-motivated crime laws and state efforts to combat antisemitism and other forms of targeted hate."
"LGBTQ+ Rights","LGBTQ, LGBTQ rights, equality, anti-discrimination, gender identity","Covers legal protections and equality for LGBTQ+ New Yorkers — including anti-discrimination law, healthcare access, and state policy affecting LGBTQ+ individuals and families."
"Ethics","ethics, government ethics, ethics reform, lobbying, conflict of interest","Covers government ethics oversight in New York — including ethics reform, conflict-of-interest rules, lobbying regulation, and investigations into state government operations."
"Judiciary","judiciary, courts, judicial appointments, court funding","Covers New York's court system and judicial policy — including court funding, judicial appointments, and the operation of state and local courts."
"Elections","elections, election law, ballot procedures, Board of Elections","Covers election administration in New York — including election law, ballot procedures, and the operation of the state's Board of Elections."
"Civil Service & Pensions","civil service, pensions, public employees, retirement benefits","Covers public employee policy in New York — including civil service hiring rules, retirement systems, and pension benefits for state and local government workers."
"Veterans","veterans, military, veterans benefits, veterans services, armed forces","Covers support and services for military veterans in New York — including veterans' benefits, employment assistance, and honors such as the Veterans Hall of Fame."
"Families","families, family leave, working families, family support","Covers general family policy in New York — including support for working families, family leave, and state programs that strengthen family stability and wellbeing."
"Children","children, youth, child welfare, child protective services","Covers child welfare and youth policy in New York — including child protective services, youth programs, and state efforts to support children's health, safety, and development."
"Seniors","seniors, aging, elder care, senior centers, older adults","Covers policy affecting older New Yorkers — including senior centers, aging services, elder care, and support for seniors living independently in their communities."
"Arts & Culture","arts, culture, museums, performing arts, cultural funding","Covers state support for arts and cultural institutions in New York — including funding for museums, performing arts, and cultural programs that enrich communities statewide."
"Historical Preservation","historical preservation, historic sites, landmarks, restoration funding","Covers preservation of historic sites and landmarks in New York — including funding for restoration projects and protection of the state's historical and cultural heritage."
"Telecommunications","telecommunications, broadband, internet access, cell service","Covers telecommunications policy in New York — including broadband access, cell service coverage, and regulation of phone and internet service providers."
"Gaming","gaming, gambling, casinos, sports betting, lottery","Covers gaming and gambling policy in New York — including casino regulation, sports betting, lottery programs, and oversight of the state's gaming industry."
"Data Privacy","data privacy, data protection, data breach, consumer data, cybersecurity","Covers protection of personal data and digital privacy in New York — including data breach notification requirements, consumer data rights, and regulation of how companies collect and use personal information."
"Technology Policy","technology policy, artificial intelligence, AI, social media, cybersecurity, big tech, internet access","Covers state policy on emerging technology in New York — including artificial intelligence regulation, social media and internet access, cybersecurity standards, and oversight of large technology companies."
"COVID-19 Pandemic","COVID-19, coronavirus, pandemic, public health emergency, pandemic relief","Covers New York's response to the COVID-19 pandemic — including public health measures, economic relief programs, and legislative action taken during and after the state of emergency."
"Homelessness","homelessness, emergency shelter, supportive housing, housing insecurity","Covers homelessness policy in New York — including emergency shelter funding, supportive housing, and state programs aimed at preventing and reducing homelessness statewide."
"Reproductive Health","reproductive health, abortion, contraception, fertility treatment, patient privacy","Covers state legislation on reproductive healthcare access — abortion, contraception, and fertility treatment coverage — along with patient privacy protections and support for providers delivering reproductive health services in New York."
"Cannabis Policy","cannabis, marijuana, cannabis licensing, adult-use sales, marijuana regulation","Covers regulation of cannabis in New York — including licensing for legal marijuana businesses, adult-use sales rules, and state oversight of the cannabis market following legalization."
"Tenant Rights","tenant rights, renters, eviction protection, rent regulation","Covers protections for renters in New York — including eviction protections, rent regulation, and legal safeguards for tenants facing housing instability."
"Animal Welfare","animal welfare, animal cruelty, animal shelters, pets, livestock","Covers animal welfare and protection policy in New York — including anti-cruelty laws, shelter and rescue regulation, and legislation affecting pets, livestock, and wildlife."
"Data Centers","data centers, data center permitting, electricity rates, tech infrastructure","Covers the impact of data center development in New York — including permitting, electricity and gas rate impacts on ratepayers, and the balance between tech infrastructure growth and utility affordability."
"Emergency Management","emergency management, disaster response, emergency preparedness, disaster recovery","Covers state emergency preparedness and disaster response in New York — including coordination during natural disasters, emergency funding, and support for communities recovering from crises."
